cluster_id,top5_crimes,bottom5_crimes
0,"[('GANG_VIOLENCE', 0.2916472235184321), ('MURDER', 0.2813812412505833), ('GUN_VIOLENCE', 0.21885207652823147), ('ROBBERY', 0.036397573495100324), ('SNATCHING', 0.032197853476434904)]","[('Industrial Hazards', 0.01726551563229118), ('THEFT', 0.015865608959402706), ('Political Violence', 0.014932337844143724), ('Extortion', 0.013065795613625758), ('Drug Possession', 0.011199253383107793)]"
1,"[('MURDER', 0.16741405082212257), ('GANG_VIOLENCE', 0.16442451420029897), ('ROBBERY', 0.11808669656203288), ('SNATCHING', 0.1031390134529148), ('ASSAULT', 0.09715994020926756)]","[('Kidnapping', 0.052316890881913304), ('Extortion', 0.04783258594917788), ('Drug Possession', 0.04633781763826607), ('Political Violence', 0.04484304932735426), ('Industrial Hazards', 0.03886397608370702)]"
2,"[('GANG_VIOLENCE', 0.15373563218390804), ('MURDER', 0.13505747126436782), ('ASSAULT', 0.11566091954022989), ('ROBBERY', 0.10416666666666667), ('SNATCHING', 0.09482758620689655)]","[('THEFT', 0.05890804597701149), ('Industrial Hazards', 0.05747126436781609), ('Land Grabbing', 0.05244252873563218), ('Extortion', 0.05028735632183908), ('Kidnapping', 0.04885057471264368)]"
3,"[('GANG_VIOLENCE', 0.16258351893095768), ('MURDER', 0.14699331848552338), ('SNATCHING', 0.11432813659985153), ('ASSAULT', 0.11061618411284335), ('ROBBERY', 0.09428359317000742)]","[('Drug Possession', 0.053452115812917596), ('Political Violence', 0.053452115812917596), ('Extortion', 0.05270972531551596), ('Industrial Hazards', 0.050482553823311065), ('Kidnapping', 0.04825538233110616)]"
4,"[('Drug Possession', 0.12694877505567928), ('MURDER', 0.12026726057906459), ('GANG_VIOLENCE', 0.11804008908685969), ('ROBBERY', 0.10690423162583519), ('Industrial Hazards', 0.10244988864142539)]","[('ASSAULT', 0.05790645879732739), ('Land Grabbing', 0.05679287305122494), ('Political Violence', 0.052338530066815145), ('Extortion', 0.051224944320712694), ('THEFT', 0.043429844097995544)]"
5,"[('SNATCHING', 0.3865276663993585), ('THEFT', 0.38572574178027264), ('MURDER', 0.04330392943063352), ('GANG_VIOLENCE', 0.034482758620689655), ('ROBBERY', 0.02566158781074579)]","[('Drug Possession', 0.019246190858059342), ('Land Grabbing', 0.01764234161988773), ('Political Violence', 0.01764234161988773), ('Industrial Hazards', 0.012830793905372895), ('Kidnapping', 0.012830793905372895)]"
6,"[('ROBBERY', 0.38348323793949307), ('SNATCHING', 0.38266557645134913), ('GANG_VIOLENCE', 0.038430089942763694), ('MURDER', 0.03434178250204415), ('THEFT', 0.033524121013900246)]","[('Land Grabbing', 0.019623875715453803), ('Industrial Hazards', 0.018806214227309895), ('Extortion', 0.017170891251022075), ('Drug Possession', 0.014717906786590351), ('Political Violence', 0.013900245298446443)]"
7,"[('THEFT', 0.12743628185907047), ('ROBBERY', 0.12143928035982009), ('MURDER', 0.1184407796101949), ('GANG_VIOLENCE', 0.11694152923538231), ('SNATCHING', 0.11544227886056972)]","[('Land Grabbing', 0.05997001499250375), ('Industrial Hazards', 0.05697151424287856), ('Extortion', 0.05247376311844078), ('Drug Possession', 0.047976011994003), ('Kidnapping', 0.047976011994003)]"
8,"[('SNATCHING', 0.40797546012269936), ('THEFT', 0.3773006134969325), ('MURDER', 0.046012269938650305), ('GANG_VIOLENCE', 0.03680981595092025), ('Land Grabbing', 0.03067484662576687)]","[('Industrial Hazards', 0.015337423312883436), ('Extortion', 0.012269938650306749), ('ROBBERY', 0.012269938650306749), ('Political Violence', 0.009202453987730062), ('Kidnapping', 0.006134969325153374)]"
9,"[('GANG_VIOLENCE', 0.381993006993007), ('Drug Possession', 0.36975524475524474), ('ROBBERY', 0.038461538461538464), ('Industrial Hazards', 0.03496503496503497), ('SNATCHING', 0.03496503496503497)]","[('ASSAULT', 0.02097902097902098), ('Political Violence', 0.019230769230769232), ('Kidnapping', 0.018356643356643356), ('Land Grabbing', 0.01486013986013986), ('THEFT', 0.013986013986013986)]"
10,"[('MURDER', 0.14357053682896379), ('GANG_VIOLENCE', 0.1348314606741573), ('SNATCHING', 0.11485642946317104), ('ASSAULT', 0.11485642946317104), ('ROBBERY', 0.09987515605493133)]","[('Extortion', 0.05867665418227216), ('Kidnapping', 0.05867665418227216), ('Political Violence', 0.04868913857677903), ('Land Grabbing', 0.04744069912609238), ('THEFT', 0.04369538077403246)]"
11,"[('GANG_VIOLENCE', 0.2855079441502167), ('MURDER', 0.2831006259027443), ('GUN_VIOLENCE', 0.22869523350987), ('ASSAULT', 0.036109773712084736), ('ROBBERY', 0.029850746268656716)]","[('THEFT', 0.014925373134328358), ('Drug Possession', 0.014925373134328358), ('Kidnapping', 0.013480982185844969), ('Extortion', 0.012518054886856042), ('Land Grabbing', 0.012518054886856042)]"
12,"[('GANG_VIOLENCE', 0.7911392405063291), ('MURDER', 0.04113924050632911), ('SNATCHING', 0.028481012658227847), ('ROBBERY', 0.02531645569620253), ('Extortion', 0.022151898734177215)]","[('Industrial Hazards', 0.012658227848101266), ('THEFT', 0.012658227848101266), ('Kidnapping', 0.012658227848101266), ('Political Violence', 0.00949367088607595), ('Drug Possession', 0.006329113924050633)]"
13,"[('MURDER', 0.16500383729854182), ('GANG_VIOLENCE', 0.15656178050652342), ('ROBBERY', 0.12509593246354567), ('ASSAULT', 0.10667689946277821), ('SNATCHING', 0.10283960092095165)]","[('Drug Possession', 0.051419800460475826), ('Kidnapping', 0.047582501918649274), ('Land Grabbing', 0.044512663085188024), ('Political Violence', 0.044512663085188024), ('THEFT', 0.044512663085188024)]"
14,"[('GANG_VIOLENCE', 0.17066666666666666), ('MURDER', 0.13466666666666666), ('ROBBERY', 0.12266666666666666), ('ASSAULT', 0.10666666666666667), ('SNATCHING', 0.1)]","[('THEFT', 0.05333333333333334), ('Land Grabbing', 0.050666666666666665), ('Political Violence', 0.048), ('Industrial Hazards', 0.048), ('Extortion', 0.04533333333333334)]"
15,"[('MURDER', 0.1623931623931624), ('GANG_VIOLENCE', 0.15669515669515668), ('ASSAULT', 0.12535612535612536), ('SNATCHING', 0.10826210826210826), ('ROBBERY', 0.09686609686609686)]","[('Land Grabbing', 0.05128205128205128), ('Drug Possession', 0.05128205128205128), ('Kidnapping', 0.045584045584045586), ('THEFT', 0.039886039886039885), ('Political Violence', 0.03133903133903134)]"
16,"[('ROBBERY', 0.1383737517831669), ('MURDER', 0.12553495007132667), ('GANG_VIOLENCE', 0.10984308131241084), ('SNATCHING', 0.10556348074179743), ('THEFT', 0.09843081312410841)]","[('Industrial Hazards', 0.06419400855920114), ('Land Grabbing', 0.06276747503566334), ('Drug Possession', 0.05848787446504993), ('Kidnapping', 0.05420827389443652), ('Extortion', 0.04992867332382311)]"
17,"[('GANG_VIOLENCE', 0.1574279379157428), ('MURDER', 0.13968957871396895), ('THEFT', 0.11086474501108648), ('Drug Possession', 0.11086474501108648), ('SNATCHING', 0.10421286031042129)]","[('Land Grabbing', 0.057649667405764965), ('Political Violence', 0.05543237250554324), ('Extortion', 0.04878048780487805), ('ROBBERY', 0.04656319290465632), ('Kidnapping', 0.04434589800443459)]"
18,"[('GANG_VIOLENCE', 0.1717902350813743), ('THEFT', 0.11934900542495479), ('Drug Possession', 0.11392405063291139), ('MURDER', 0.11211573236889692), ('SNATCHING', 0.11030741410488246)]","[('ASSAULT', 0.054249547920433995), ('Land Grabbing', 0.05063291139240506), ('Political Violence', 0.048824593128390596), ('Extortion', 0.048824593128390596), ('Industrial Hazards', 0.045207956600361664)]"
19,"[('SNATCHING', 0.17316017316017315), ('GANG_VIOLENCE', 0.11688311688311688), ('ROBBERY', 0.11255411255411256), ('MURDER', 0.10822510822510822), ('Industrial Hazards', 0.08225108225108226)]","[('Kidnapping', 0.06493506493506493), ('ASSAULT', 0.05627705627705628), ('THEFT', 0.05194805194805195), ('Land Grabbing', 0.04329004329004329), ('Drug Possession', 0.03896103896103896)]"
20,"[('GANG_VIOLENCE', 0.13733905579399142), ('ROBBERY', 0.13304721030042918), ('MURDER', 0.12875536480686695), ('Land Grabbing', 0.10300429184549356), ('Kidnapping', 0.0815450643776824)]","[('ASSAULT', 0.06437768240343347), ('Political Violence', 0.06437768240343347), ('Drug Possession', 0.04721030042918455), ('Extortion', 0.04721030042918455), ('Industrial Hazards', 0.04291845493562232)]"
